Date,Time,Air temperature | ('C),Wind speed | (m/s),Wind direction | (deg),Pressure | (atm),System power generated | (kW)
1 1 2021,00:00 am,18.263,9.926,128,1.00048,1766.64
1 1 2021,01:00 am,18.363,9.273,135,0.99979,1433.83
1 1 2021,02:00 am,18.663,8.66,142,0.999592,1167.23
1 1 2021,03:00 am,18.763,9.461,148,0.998309,1524.59
1 1 2021,04:00 am,18.963,9.184,150,0.998507,1384.28
1 1 2021,05:00 am,19.063,8.996,149,0.998507,1293.93
1 1 2021,06:00 am,19.113,9.016,151,0.998211,1301.63
1 1 2021,07:00 am,19.163,9.036,154,0.997815,1308.13
1 1 2021,08:00 am,19.363,7.612,154,1.00028,792.081
1 1 2021,09:00 am,19.963,6.129,162,1.00295,399.537
1 1 2021,10:00 am,20.763,5.961,152,1.00048,362.988
1 1 2021,11:00 am,21.063,8.117,141,1.00068,951.359
1 1 2021,00:00 pm,21.063,9.54,141,0.996926,1549.75
1 1 2021,01:00 pm,20.763,10.094,136,1.00028,1835.22
1 1 2021,02:00 pm,20.663,8.789,137,0.998801,1208.37
1 1 2021,03:00 pm,20.663,7.286,126,0.999986,686.154
1 1 2021,04:00 pm,20.563,7.088,122,0.999591,624.105
1 1 2021,05:00 pm,20.363,7.266,121,0.997715,678.936
1 1 2021,06:00 pm,20.363,8.739,116,0.996334,1187.51
1 1 2021,07:00 pm,20.363,10.212,126,0.994952,1881.72
1 1 2021,08:00 pm,20.363,9.797,132,0.998406,1685.91
1 1 2021,09:00 pm,20.263,8.729,149,1.00048,1188.7
1 1 2021,10:00 pm,20.263,8.087,155,0.99821,939.228
1 1 2021,11:00 pm,20.263,7.563,160,0.998703,772.632
2 1 2021,00:00 am,20.163,8.265,157,0.996432,1006.16
2 1 2021,01:00 am,19.863,8.631,157,0.998999,1150.85
2 1 2021,02:00 am,19.663,8.542,167,0.998802,1116.59
2 1 2021,03:00 am,19.563,7.158,176,0.997914,647.342
2 1 2021,04:00 am,19.463,6.693,174,0.994952,528.178
2 1 2021,05:00 am,19.263,7.009,175,0.996335,602.899
2 1 2021,06:00 am,19.513,6.96,162,0.996433,591.48
2 1 2021,07:00 am,19.763,6.91,177,0.996432,578.963
2 1 2021,08:00 am,19.763,6.09,177,0.995643,387.965
2 1 2021,09:00 am,20.263,6.99,173,0.996926,596.94
2 1 2021,10:00 am,21.063,6.584,175,0.997518,501.324
2 1 2021,11:00 am,22.263,4.884,166,1.00048,184.65
2 1 2021,00:00 pm,22.663,4.904,135,0.995937,185.902
2 1 2021,01:00 pm,21.563,6.782,120,0.994655,544.988
2 1 2021,02:00 pm,20.863,8.245,126,0.993964,993.34
2 1 2021,03:00 pm,21.063,9.352,132,0.996432,1454.04
2 1 2021,04:00 pm,21.463,10.697,140,0.994457,2090.64
2 1 2021,05:00 pm,21.163,11.992,142,0.994457,2586.1
2 1 2021,06:00 pm,20.713,11.399,145,0.99426,2378.47
2 1 2021,07:00 pm,20.263,10.806,153,0.994162,2145.09
2 1 2021,08:00 pm,19.763,11.142,150,0.996432,2294.79
2 1 2021,09:00 pm,19.863,10.657,155,0.996334,2085.15
2 1 2021,10:00 pm,19.963,10.628,158,0.99436,2067.89
2 1 2021,11:00 pm,19.963,10.291,162,0.994853,1918.02
3 1 2021,00:00 am,19.863,10.025,160,0.994458,1796.63
